Warehouse,Shipment,Calls,Category_Calls,Rating,Satisfactions,Cost,Purchase,Category_Purchase,Importance,Gender,Discount,Category_Discount,Weight,Category_Weight,Late
A,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,139,5,Often,medium,F,5,4 - 7 (Medium),4572,> 4149 (Large),0
B,Ship,3,2 - 4 (Rendah),4,satisfied,250,3,Seldom,low,M,10,> 7 (High),5688,> 4149 (Large),0
C,Ship,4,2 - 4 (Rendah),4,satisfied,272,2,Seldom,low,M,10,> 7 (High),4826,> 4149 (Large),1
F,Ship,6,> 4 (Tinggi),1,neutral or dissatisfied,160,5,Often,medium,M,8,> 7 (High),5982,> 4149 (Large),0
D,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,170,4,Often,low,F,4,4 - 7 (Medium),4855,> 4149 (Large),1
F,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,260,2,Seldom,low,F,1,0 - 3 (Low),5001,> 4149 (Large),1
A,Ship,2,2 - 4 (Rendah),1,neutral or dissatisfied,168,3,Seldom,low,F,7,4 - 7 (Medium),4008,1333 - 4149 (Medium),0
B,Ship,4,2 - 4 (Rendah),2,neutral or dissatisfied,261,2,Seldom,medium,M,7,4 - 7 (Medium),5764,> 4149 (Large),0
C,Ship,5,> 4 (Tinggi),4,satisfied,117,3,Seldom,medium,F,4,4 - 7 (Medium),5332,> 4149 (Large),0
F,Ship,4,2 - 4 (Rendah),2,neutral or dissatisfied,151,4,Often,medium,F,5,4 - 7 (Medium),5469,> 4149 (Large),0
D,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,181,2,Seldom,medium,F,4,4 - 7 (Medium),5578,> 4149 (Large),1
F,Ship,6,> 4 (Tinggi),1,neutral or dissatisfied,251,4,Often,low,M,2,0 - 3 (Low),5656,> 4149 (Large),0
A,Ship,2,2 - 4 (Rendah),3,neutral or dissatisfied,178,3,Seldom,medium,F,8,> 7 (High),4451,> 4149 (Large),1
B,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,227,3,Seldom,low,M,10,> 7 (High),4305,> 4149 (Large),1
C,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,206,4,Often,medium,M,1,0 - 3 (Low),4812,> 4149 (Large),1
F,Ship,4,2 - 4 (Rendah),4,satisfied,181,4,Often,low,M,4,4 - 7 (Medium),5767,> 4149 (Large),0
D,Ship,4,2 - 4 (Rendah),5,satisfied,117,5,Often,medium,F,1,0 - 3 (Low),4378,> 4149 (Large),0
F,Ship,2,2 - 4 (Rendah),4,satisfied,187,6,Often,medium,F,9,> 7 (High),4388,> 4149 (Large),0
A,Ship,5,> 4 (Tinggi),3,neutral or dissatisfied,219,4,Often,medium,M,5,4 - 7 (Medium),4096,1333 - 4149 (Medium),0
B,Ship,6,> 4 (Tinggi),3,neutral or dissatisfied,280,3,Seldom,low,M,7,4 - 7 (Medium),4620,> 4149 (Large),1
C,Ship,6,> 4 (Tinggi),5,satisfied,178,3,Seldom,low,F,5,4 - 7 (Medium),4096,1333 - 4149 (Medium),0
F,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,139,2,Seldom,medium,M,3,0 - 3 (Low),4226,> 4149 (Large),0
D,Ship,3,2 - 4 (Rendah),5,satisfied,137,2,Seldom,low,F,6,4 - 7 (Medium),5709,> 4149 (Large),1
F,Ship,5,> 4 (Tinggi),3,neutral or dissatisfied,248,2,Seldom,low,F,6,4 - 7 (Medium),5863,> 4149 (Large),1
A,Ship,3,2 - 4 (Rendah),5,satisfied,259,3,Seldom,low,F,10,> 7 (High),5978,> 4149 (Large),0
B,Ship,4,2 - 4 (Rendah),5,satisfied,139,3,Seldom,medium,M,5,4 - 7 (Medium),5126,> 4149 (Large),0
C,Ship,3,2 - 4 (Rendah),5,satisfied,267,2,Seldom,medium,M,4,4 - 7 (Medium),4703,> 4149 (Large),0
F,Ship,3,2 - 4 (Rendah),5,satisfied,271,4,Often,medium,M,1,0 - 3 (Low),5852,> 4149 (Large),1
D,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,181,4,Often,medium,F,4,4 - 7 (Medium),5505,> 4149 (Large),0
F,Ship,4,2 - 4 (Rendah),5,satisfied,222,2,Seldom,medium,M,2,0 - 3 (Low),4425,> 4149 (Large),0
A,Ship,3,2 - 4 (Rendah),5,satisfied,159,2,Seldom,medium,M,6,4 - 7 (Medium),5804,> 4149 (Large),0
B,Ship,3,2 - 4 (Rendah),4,satisfied,238,2,Seldom,medium,M,3,0 - 3 (Low),4930,> 4149 (Large),0
C,Road,5,> 4 (Tinggi),3,neutral or dissatisfied,256,6,Often,medium,F,5,4 - 7 (Medium),5614,> 4149 (Large),1
F,Road,4,2 - 4 (Rendah),2,neutral or dissatisfied,202,3,Seldom,low,M,9,> 7 (High),4955,> 4149 (Large),0
D,Road,4,2 - 4 (Rendah),1,neutral or dissatisfied,258,3,Seldom,medium,M,2,0 - 3 (Low),4188,> 4149 (Large),0
F,Road,4,2 - 4 (Rendah),5,satisfied,174,3,Seldom,medium,F,8,> 7 (High),5576,> 4149 (Large),0
A,Road,4,2 - 4 (Rendah),3,neutral or dissatisfied,270,2,Seldom,low,M,7,4 - 7 (Medium),5814,> 4149 (Large),0
B,Road,4,2 - 4 (Rendah),1,neutral or dissatisfied,215,3,Seldom,low,M,9,> 7 (High),4551,> 4149 (Large),0
C,Road,3,2 - 4 (Rendah),1,neutral or dissatisfied,254,4,Often,medium,M,9,> 7 (High),4571,> 4149 (Large),0
F,Road,6,> 4 (Tinggi),4,satisfied,253,2,Seldom,low,F,9,> 7 (High),5972,> 4149 (Large),0
D,Road,3,2 - 4 (Rendah),2,neutral or dissatisfied,269,4,Often,medium,M,1,0 - 3 (Low),5797,> 4149 (Large),0
F,Road,4,2 - 4 (Rendah),1,neutral or dissatisfied,224,5,Often,low,F,7,4 - 7 (Medium),5738,> 4149 (Large),0
A,Road,3,2 - 4 (Rendah),1,neutral or dissatisfied,157,3,Seldom,medium,M,1,0 - 3 (Low),4391,> 4149 (Large),0
B,Road,3,2 - 4 (Rendah),3,neutral or dissatisfied,250,3,Seldom,low,F,5,4 - 7 (Medium),4625,> 4149 (Large),0
C,Road,6,> 4 (Tinggi),1,neutral or dissatisfied,132,4,Often,medium,M,5,4 - 7 (Medium),5235,> 4149 (Large),1
F,Road,5,> 4 (Tinggi),2,neutral or dissatisfied,256,3,Seldom,medium,M,6,4 - 7 (Medium),5604,> 4149 (Large),1
D,Road,4,2 - 4 (Rendah),2,neutral or dissatisfied,237,3,Seldom,low,M,1,0 - 3 (Low),5114,> 4149 (Large),0
F,Road,5,> 4 (Tinggi),1,neutral or dissatisfied,199,2,Seldom,medium,M,7,4 - 7 (Medium),4660,> 4149 (Large),1
A,Road,3,2 - 4 (Rendah),4,satisfied,186,3,Seldom,medium,M,7,4 - 7 (Medium),4536,> 4149 (Large),0
B,Road,4,2 - 4 (Rendah),5,satisfied,213,3,Seldom,medium,F,7,4 - 7 (Medium),4114,1333 - 4149 (Medium),0
C,Road,3,2 - 4 (Rendah),1,neutral or dissatisfied,260,2,Seldom,medium,F,6,4 - 7 (Medium),4332,> 4149 (Large),0
F,Road,6,> 4 (Tinggi),1,neutral or dissatisfied,247,3,Seldom,low,M,1,0 - 3 (Low),4637,> 4149 (Large),1
D,Road,4,2 - 4 (Rendah),3,neutral or dissatisfied,178,2,Seldom,medium,F,9,> 7 (High),4322,> 4149 (Large),1
F,Road,3,2 - 4 (Rendah),1,neutral or dissatisfied,135,2,Seldom,low,M,7,4 - 7 (Medium),5682,> 4149 (Large),0
A,Flight,3,2 - 4 (Rendah),3,neutral or dissatisfied,234,3,Seldom,medium,F,3,0 - 3 (Low),4187,> 4149 (Large),1
B,Flight,4,2 - 4 (Rendah),5,satisfied,214,3,Seldom,high,F,1,0 - 3 (Low),4004,1333 - 4149 (Medium),0
C,Flight,4,2 - 4 (Rendah),1,neutral or dissatisfied,174,3,Seldom,low,F,8,> 7 (High),5549,> 4149 (Large),0
F,Flight,5,> 4 (Tinggi),5,satisfied,262,2,Seldom,medium,M,8,> 7 (High),4283,> 4149 (Large),0
D,Flight,4,2 - 4 (Rendah),1,neutral or dissatisfied,180,3,Seldom,high,F,5,4 - 7 (Medium),4346,> 4149 (Large),0
F,Flight,5,> 4 (Tinggi),2,neutral or dissatisfied,165,2,Seldom,medium,F,6,4 - 7 (Medium),4819,> 4149 (Large),1
A,Flight,4,2 - 4 (Rendah),1,neutral or dissatisfied,150,3,Seldom,low,F,10,> 7 (High),4470,> 4149 (Large),0
B,Flight,5,> 4 (Tinggi),4,satisfied,227,2,Seldom,low,F,9,> 7 (High),5706,> 4149 (Large),1
C,Flight,5,> 4 (Tinggi),1,neutral or dissatisfied,220,3,Seldom,medium,M,8,> 7 (High),5727,> 4149 (Large),1
F,Flight,5,> 4 (Tinggi),5,satisfied,255,2,Seldom,medium,M,1,0 - 3 (Low),4604,> 4149 (Large),1
D,Flight,3,2 - 4 (Rendah),2,neutral or dissatisfied,202,2,Seldom,medium,M,5,4 - 7 (Medium),5135,> 4149 (Large),1
F,Flight,4,2 - 4 (Rendah),4,satisfied,261,3,Seldom,medium,M,2,0 - 3 (Low),4140,1333 - 4149 (Medium),0
A,Flight,5,> 4 (Tinggi),3,neutral or dissatisfied,244,2,Seldom,low,M,5,4 - 7 (Medium),4713,> 4149 (Large),0
B,Flight,4,2 - 4 (Rendah),2,neutral or dissatisfied,173,3,Seldom,medium,F,1,0 - 3 (Low),5128,> 4149 (Large),0
C,Flight,3,2 - 4 (Rendah),2,neutral or dissatisfied,224,3,Seldom,medium,M,1,0 - 3 (Low),5343,> 4149 (Large),1
F,Flight,4,2 - 4 (Rendah),4,satisfied,263,2,Seldom,medium,M,2,0 - 3 (Low),5797,> 4149 (Large),1
D,Flight,5,> 4 (Tinggi),1,neutral or dissatisfied,160,5,Often,low,F,1,0 - 3 (Low),4672,> 4149 (Large),0
F,Flight,6,> 4 (Tinggi),2,neutral or dissatisfied,106,5,Often,low,M,9,> 7 (High),4038,1333 - 4149 (Medium),1
A,Flight,3,2 - 4 (Rendah),2,neutral or dissatisfied,227,2,Seldom,medium,M,9,> 7 (High),4659,> 4149 (Large),0
B,Flight,3,2 - 4 (Rendah),5,satisfied,257,2,Seldom,low,M,2,0 - 3 (Low),5251,> 4149 (Large),1
C,Flight,3,2 - 4 (Rendah),1,neutral or dissatisfied,155,3,Seldom,medium,F,6,4 - 7 (Medium),5113,> 4149 (Large),1
F,Flight,3,2 - 4 (Rendah),4,satisfied,212,3,Seldom,low,F,8,> 7 (High),5214,> 4149 (Large),0
D,Ship,6,> 4 (Tinggi),3,neutral or dissatisfied,205,3,Seldom,low,M,10,> 7 (High),4996,> 4149 (Large),0
F,Ship,3,2 - 4 (Rendah),4,satisfied,211,3,Seldom,low,F,6,4 - 7 (Medium),5890,> 4149 (Large),0
A,Ship,5,> 4 (Tinggi),4,satisfied,178,5,Often,low,F,9,> 7 (High),4729,> 4149 (Large),1
B,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,221,3,Seldom,high,M,5,4 - 7 (Medium),4568,> 4149 (Large),1
C,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,253,4,Often,low,F,9,> 7 (High),4682,> 4149 (Large),1
F,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,185,2,Seldom,medium,M,8,> 7 (High),5430,> 4149 (Large),1
D,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,160,2,Seldom,high,M,6,4 - 7 (Medium),5667,> 4149 (Large),0
F,Ship,3,2 - 4 (Rendah),4,satisfied,173,2,Seldom,low,M,5,4 - 7 (Medium),4402,> 4149 (Large),0
A,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,256,3,Seldom,medium,M,8,> 7 (High),4070,1333 - 4149 (Medium),0
B,Ship,3,2 - 4 (Rendah),4,satisfied,134,3,Seldom,high,F,6,4 - 7 (Medium),5680,> 4149 (Large),0
C,Ship,4,2 - 4 (Rendah),5,satisfied,160,6,Often,low,F,4,4 - 7 (Medium),4684,> 4149 (Large),1
F,Ship,2,2 - 4 (Rendah),3,neutral or dissatisfied,205,3,Seldom,low,M,1,0 - 3 (Low),5137,> 4149 (Large),0
D,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,202,3,Seldom,low,M,4,4 - 7 (Medium),4029,1333 - 4149 (Medium),0
F,Ship,2,2 - 4 (Rendah),2,neutral or dissatisfied,158,3,Seldom,medium,F,2,0 - 3 (Low),4153,> 4149 (Large),0
A,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,233,3,Seldom,medium,M,4,4 - 7 (Medium),5259,> 4149 (Large),0
B,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,163,2,Seldom,high,F,10,> 7 (High),5364,> 4149 (Large),1
C,Ship,4,2 - 4 (Rendah),4,satisfied,202,4,Often,medium,M,4,4 - 7 (Medium),4053,1333 - 4149 (Medium),0
F,Ship,5,> 4 (Tinggi),2,neutral or dissatisfied,229,3,Seldom,low,M,1,0 - 3 (Low),5189,> 4149 (Large),1
D,Ship,5,> 4 (Tinggi),4,satisfied,120,4,Often,high,M,1,0 - 3 (Low),4183,> 4149 (Large),0
F,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,185,2,Seldom,medium,F,10,> 7 (High),5973,> 4149 (Large),1
A,Ship,2,2 - 4 (Rendah),5,satisfied,154,3,Seldom,medium,F,1,0 - 3 (Low),4377,> 4149 (Large),0
B,Ship,2,2 - 4 (Rendah),4,satisfied,238,3,Seldom,medium,M,4,4 - 7 (Medium),5782,> 4149 (Large),1
C,Ship,4,2 - 4 (Rendah),2,neutral or dissatisfied,179,3,Seldom,low,M,3,0 - 3 (Low),5284,> 4149 (Large),0
F,Ship,4,2 - 4 (Rendah),5,satisfied,237,2,Seldom,medium,F,10,> 7 (High),4963,> 4149 (Large),0
D,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,234,3,Seldom,low,F,8,> 7 (High),4996,> 4149 (Large),0
F,Ship,2,2 - 4 (Rendah),5,satisfied,116,3,Seldom,low,F,1,0 - 3 (Low),4091,1333 - 4149 (Medium),1
A,Ship,4,2 - 4 (Rendah),5,satisfied,157,4,Often,low,F,8,> 7 (High),4344,> 4149 (Large),1
B,Ship,4,2 - 4 (Rendah),2,neutral or dissatisfied,151,3,Seldom,medium,M,8,> 7 (High),4390,> 4149 (Large),1
C,Ship,3,2 - 4 (Rendah),5,satisfied,160,3,Seldom,medium,F,1,0 - 3 (Low),5062,> 4149 (Large),0
F,Ship,3,2 - 4 (Rendah),5,satisfied,226,3,Seldom,low,M,8,> 7 (High),5203,> 4149 (Large),1
D,Ship,2,2 - 4 (Rendah),5,satisfied,254,3,Seldom,low,M,6,4 - 7 (Medium),5684,> 4149 (Large),0
F,Ship,3,2 - 4 (Rendah),5,satisfied,194,3,Seldom,low,M,8,> 7 (High),5726,> 4149 (Large),1
A,Ship,5,> 4 (Tinggi),5,satisfied,194,4,Often,medium,F,4,4 - 7 (Medium),4003,1333 - 4149 (Medium),0
B,Ship,3,2 - 4 (Rendah),4,satisfied,175,3,Seldom,low,M,6,4 - 7 (Medium),5503,> 4149 (Large),0
C,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,228,2,Seldom,medium,F,9,> 7 (High),4091,1333 - 4149 (Medium),0
F,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,240,3,Seldom,low,F,4,4 - 7 (Medium),5056,> 4149 (Large),1
D,Ship,2,2 - 4 (Rendah),1,neutral or dissatisfied,166,3,Seldom,medium,F,8,> 7 (High),4255,> 4149 (Large),1
F,Ship,4,2 - 4 (Rendah),5,satisfied,249,2,Seldom,medium,F,10,> 7 (High),4562,> 4149 (Large),0
A,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,261,3,Seldom,medium,M,7,4 - 7 (Medium),4314,> 4149 (Large),1
B,Ship,4,2 - 4 (Rendah),1,neutral or dissatisfied,209,2,Seldom,low,F,10,> 7 (High),5066,> 4149 (Large),0
C,Ship,3,2 - 4 (Rendah),2,neutral or dissatisfied,154,2,Seldom,medium,M,4,4 - 7 (Medium),5864,> 4149 (Large),0
F,Ship,6,> 4 (Tinggi),5,satisfied,98,3,Seldom,low,F,8,> 7 (High),5946,> 4149 (Large),0
D,Ship,3,2 - 4 (Rendah),5,satisfied,193,3,Seldom,medium,M,2,0 - 3 (Low),4784,> 4149 (Large),0
F,Ship,3,2 - 4 (Rendah),5,satisfied,169,3,Seldom,low,F,6,4 - 7 (Medium),5397,> 4149 (Large),0
A,Ship,5,> 4 (Tinggi),4,satisfied,227,2,Seldom,medium,M,3,0 - 3 (Low),5904,> 4149 (Large),0
B,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,150,2,Seldom,medium,M,6,4 - 7 (Medium),4170,> 4149 (Large),1
C,Ship,5,> 4 (Tinggi),4,satisfied,260,6,Often,medium,M,8,> 7 (High),5440,> 4149 (Large),1
F,Ship,5,> 4 (Tinggi),5,satisfied,243,6,Often,medium,F,9,> 7 (High),4587,> 4149 (Large),0
D,Ship,2,2 - 4 (Rendah),4,satisfied,271,8,Often,medium,F,10,> 7 (High),4183,> 4149 (Large),0
F,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,129,6,Often,medium,F,5,4 - 7 (Medium),5626,> 4149 (Large),0
A,Ship,3,2 - 4 (Rendah),2,neutral or dissatisfied,228,3,Seldom,medium,F,4,4 - 7 (Medium),4208,> 4149 (Large),0
B,Ship,5,> 4 (Tinggi),5,satisfied,243,2,Seldom,low,M,9,> 7 (High),4669,> 4149 (Large),1
C,Ship,2,2 - 4 (Rendah),3,neutral or dissatisfied,187,3,Seldom,medium,F,6,4 - 7 (Medium),5547,> 4149 (Large),0
F,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,185,3,Seldom,medium,F,10,> 7 (High),4387,> 4149 (Large),0
D,Ship,2,2 - 4 (Rendah),1,neutral or dissatisfied,228,3,Seldom,high,F,1,0 - 3 (Low),5500,> 4149 (Large),1
F,Ship,5,> 4 (Tinggi),1,neutral or dissatisfied,248,8,Often,low,F,2,0 - 3 (Low),4023,1333 - 4149 (Medium),1
A,Ship,4,2 - 4 (Rendah),5,satisfied,233,4,Often,low,F,6,4 - 7 (Medium),4652,> 4149 (Large),0
B,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,151,3,Seldom,medium,F,8,> 7 (High),4025,1333 - 4149 (Medium),1
C,Ship,5,> 4 (Tinggi),2,neutral or dissatisfied,160,3,Seldom,high,M,3,0 - 3 (Low),4599,> 4149 (Large),0
F,Ship,3,2 - 4 (Rendah),5,satisfied,265,3,Seldom,medium,M,4,4 - 7 (Medium),4268,> 4149 (Large),1
D,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,229,7,Often,high,F,4,4 - 7 (Medium),5075,> 4149 (Large),1
F,Ship,6,> 4 (Tinggi),3,neutral or dissatisfied,144,7,Often,high,F,8,> 7 (High),5646,> 4149 (Large),1
A,Ship,3,2 - 4 (Rendah),5,satisfied,172,10,Often,high,F,1,0 - 3 (Low),4929,> 4149 (Large),1
B,Ship,3,2 - 4 (Rendah),5,satisfied,273,10,Often,medium,F,5,4 - 7 (Medium),4608,> 4149 (Large),0
C,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,182,4,Often,low,M,7,4 - 7 (Medium),1869,1333 - 4149 (Medium),1
F,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,164,2,Seldom,low,F,3,0 - 3 (Low),1376,1333 - 4149 (Medium),0
D,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,240,3,Seldom,low,F,4,4 - 7 (Medium),5484,> 4149 (Large),1
F,Ship,2,2 - 4 (Rendah),1,neutral or dissatisfied,166,3,Seldom,medium,M,6,4 - 7 (Medium),4280,> 4149 (Large),0
A,Ship,4,2 - 4 (Rendah),2,neutral or dissatisfied,249,2,Seldom,medium,F,7,4 - 7 (Medium),5876,> 4149 (Large),1
B,Ship,4,2 - 4 (Rendah),3,neutral or dissatisfied,261,3,Seldom,medium,M,1,0 - 3 (Low),4590,> 4149 (Large),0
C,Ship,4,2 - 4 (Rendah),5,satisfied,209,2,Seldom,low,F,8,> 7 (High),4047,1333 - 4149 (Medium),0
F,Ship,3,2 - 4 (Rendah),5,satisfied,154,2,Seldom,medium,M,6,4 - 7 (Medium),4744,> 4149 (Large),0
D,Ship,6,> 4 (Tinggi),3,neutral or dissatisfied,98,3,Seldom,low,F,8,> 7 (High),4651,> 4149 (Large),1
F,Ship,3,2 - 4 (Rendah),5,satisfied,193,3,Seldom,medium,F,9,> 7 (High),4982,> 4149 (Large),0
A,Ship,3,2 - 4 (Rendah),1,neutral or dissatisfied,169,3,Seldom,low,F,6,4 - 7 (Medium),4081,1333 - 4149 (Medium),1
B,Ship,5,> 4 (Tinggi),4,satisfied,227,2,Seldom,medium,M,10,> 7 (High),4734,> 4149 (Large),0
C,Ship,3,2 - 4 (Rendah),5,satisfied,150,2,Seldom,medium,M,10,> 7 (High),5944,> 4149 (Large),0
F,Ship,5,> 4 (Tinggi),3,neutral or dissatisfied,260,6,Often,medium,F,10,> 7 (High),4986,> 4149 (Large),0
D,Ship,5,> 4 (Tinggi),4,satisfied,243,6,Often,medium,F,1,0 - 3 (Low),4170,> 4149 (Large),1
F,Ship,2,2 - 4 (Rendah),1,neutral or dissatisfied,271,8,Often,medium,F,5,4 - 7 (Medium),4924,> 4149 (Large),0
A,Ship,4,2 - 4 (Rendah),4,satisfied,129,6,Often,medium,F,7,4 - 7 (Medium),4873,> 4149 (Large),1
B,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,228,3,Seldom,medium,F,8,> 7 (High),4927,> 4149 (Large),0
C,Ship,5,> 4 (Tinggi),3,neutral or dissatisfied,243,2,Seldom,low,F,9,> 7 (High),4828,> 4149 (Large),1
F,Ship,2,2 - 4 (Rendah),1,neutral or dissatisfied,187,3,Seldom,medium,F,3,0 - 3 (Low),5922,> 4149 (Large),0
D,Ship,3,2 - 4 (Rendah),3,neutral or dissatisfied,185,3,Seldom,medium,M,4,4 - 7 (Medium),4111,1333 - 4149 (Medium),1
F,Ship,2,2 - 4 (Rendah),3,neutral or dissatisfied,228,3,Seldom,high,M,5,4 - 7 (Medium),4663,> 4149 (Large),0
A,Ship,5,> 4 (Tinggi),2,neutral or dissatisfied,248,8,Often,low,F,10,> 7 (High),4583,> 4149 (Large),0
B,Ship,4,2 - 4 (Rendah),5,satisfied,233,4,Often,low,F,6,4 - 7 (Medium),4705,> 4149 (Large),1
C,Ship,4,2 - 4 (Rendah),5,satisfied,151,3,Seldom,medium,F,10,> 7 (High),5275,> 4149 (Large),0
F,Ship,5,> 4 (Tinggi),4,satisfied,160,3,Seldom,high,M,2,0 - 3 (Low),5876,> 4149 (Large),0
D,Ship,3,2 - 4 (Rendah),4,satisfied,265,3,Seldom,medium,F,7,4 - 7 (Medium),5113,> 4149 (Large),0
F,Ship,3,2 - 4 (Rendah),2,neutral or dissatisfied,229,7,Often,high,M,3,0 - 3 (Low),5584,> 4149 (Large),0
A,Ship,6,> 4 (Tinggi),2,neutral or dissatisfied,144,7,Often,high,M,1,0 - 3 (Low),5501,> 4149 (Large),0
B,Road,3,2 - 4 (Rendah),4,satisfied,172,10,Often,high,M,9,> 7 (High),4883,> 4149 (Large),0
C,Road,3,2 - 4 (Rendah),3,neutral or dissatisfied,273,10,Often,medium,F,10,> 7 (High),5574,> 4149 (Large),1
F,Road,3,2 - 4 (Rendah),5,satisfied,182,4,Often,low,M,6,4 - 7 (Medium),1272,0 - 1332 (Small),1
D,Road,4,2 - 4 (Rendah),4,satisfied,164,2,Seldom,low,F,9,> 7 (High),1949,1333 - 4149 (Medium),1
F,Road,3,2 - 4 (Rendah),5,satisfied,268,2,Seldom,medium,M,5,4 - 7 (Medium),1707,1333 - 4149 (Medium),0
A,Road,3,2 - 4 (Rendah),3,neutral or dissatisfied,218,4,Often,medium,F,4,4 - 7 (Medium),1678,1333 - 4149 (Medium),1
B,Road,5,> 4 (Tinggi),3,neutral or dissatisfied,236,2,Seldom,medium,M,6,4 - 7 (Medium),1329,0 - 1332 (Small),1
C,Road,3,2 - 4 (Rendah),4,satisfied,188,4,Often,low,M,2,0 - 3 (Low),1059,0 - 1332 (Small),1
F,Road,4,2 - 4 (Rendah),2,neutral or dissatisfied,277,5,Often,medium,F,8,> 7 (High),1335,1333 - 4149 (Medium),0
D,Road,6,> 4 (Tinggi),1,neutral or dissatisfied,127,3,Seldom,low,F,8,> 7 (High),5976,> 4149 (Large),1
F,Road,5,> 4 (Tinggi),1,neutral or dissatisfied,143,3,Seldom,low,M,5,4 - 7 (Medium),5146,> 4149 (Large),1
A,Road,6,> 4 (Tinggi),1,neutral or dissatisfied,192,6,Often,medium,M,7,4 - 7 (Medium),4014,1333 - 4149 (Medium),1
B,Road,4,2 - 4 (Rendah),2,neutral or dissatisfied,239,2,Seldom,medium,F,9,> 7 (High),4360,> 4149 (Large),0
C,Road,3,2 - 4 (Rendah),5,satisfied,215,3,Seldom,low,M,4,4 - 7 (Medium),4828,> 4149 (Large),1
F,Road,6,> 4 (Tinggi),1,neutral or dissatisfied,139,5,Often,medium,M,1,0 - 3 (Low),4243,> 4149 (Large),0
D,Road,3,2 - 4 (Rendah),2,neutral or dissatisfied,250,3,Seldom,medium,F,4,4 - 7 (Medium),5361,> 4149 (Large),0
F,Road,3,2 - 4 (Rendah),1,neutral or dissatisfied,187,3,Seldom,medium,F,1,0 - 3 (Low),5541,> 4149 (Large),0
A,Road,2,2 - 4 (Rendah),1,neutral or dissatisfied,151,3,Seldom,low,F,5,4 - 7 (Medium),5982,> 4149 (Large),1
B,Road,3,2 - 4 (Rendah),5,satisfied,181,3,Seldom,medium,M,9,> 7 (High),4191,> 4149 (Large),0
C,Road,4,2 - 4 (Rendah),4,satisfied,170,5,Often,low,M,5,4 - 7 (Medium),4823,> 4149 (Large),1
F,Road,4,2 - 4 (Rendah),3,neutral or dissatisfied,139,3,Seldom,low,F,1,0 - 3 (Low),4986,> 4149 (Large),0
D,Road,4,2 - 4 (Rendah),4,satisfied,186,2,Seldom,low,F,1,0 - 3 (Low),4519,> 4149 (Large),0
F,Flight,3,2 - 4 (Rendah),2,neutral or dissatisfied,273,3,Seldom,medium,F,2,0 - 3 (Low),4948,> 4149 (Large),0
A,Flight,6,> 4 (Tinggi),1,neutral or dissatisfied,274,5,Often,low,F,8,> 7 (High),4292,> 4149 (Large),1
B,Flight,3,2 - 4 (Rendah),5,satisfied,108,2,Seldom,low,F,10,> 7 (High),5559,> 4149 (Large),1
C,Flight,3,2 - 4 (Rendah),5,satisfied,132,3,Seldom,medium,F,4,4 - 7 (Medium),4212,> 4149 (Large),0
F,Flight,4,2 - 4 (Rendah),1,neutral or dissatisfied,223,3,Seldom,medium,F,4,4 - 7 (Medium),4972,> 4149 (Large),1
D,Flight,3,2 - 4 (Rendah),2,neutral or dissatisfied,240,3,Seldom,medium,M,2,0 - 3 (Low),4804,> 4149 (Large),0
F,Flight,3,2 - 4 (Rendah),5,satisfied,106,2,Seldom,low,F,3,0 - 3 (Low),5615,> 4149 (Large),0
A,Flight,5,> 4 (Tinggi),4,satisfied,143,5,Often,medium,F,5,4 - 7 (Medium),4393,> 4149 (Large),1
B,Flight,5,> 4 (Tinggi),1,neutral or dissatisfied,238,2,Seldom,medium,M,5,4 - 7 (Medium),5441,> 4149 (Large),1
C,Flight,2,2 - 4 (Rendah),1,neutral or dissatisfied,156,3,Seldom,medium,M,3,0 - 3 (Low),5937,> 4149 (Large),0
